NODE artpiqm receives from fiber(node,type): 30(argr,negative) 
NODE cecr receives from fiber(node,type): 30(cecr,negative) 
NODE cho receives from fiber(node,type): 30(lexa,negative) 
NODE cynr receives from fiber(node,type): 30(cynr,negative) 
NODE dhar receives from fiber(node,type): 30(dhar,negative) 
NODE dinb-yafnop receives from fiber(node,type): 30(lexa,negative) 
NODE dind receives from fiber(node,type): 30(lexa,negative) 
NODE ding-ybib receives from fiber(node,type): 30(lexa,negative) 
NODE dinq receives from fiber(node,type): 30(lexa,negative) 
NODE erpa receives from fiber(node,type): 30(iscr,negative) 
NODE ftsk receives from fiber(node,type): 30(lexa,negative) 
NODE gcva receives from fiber(node,type): 30(gcva,negative) 
NODE hcar receives from fiber(node,type): 30(hcar,negative) 
NODE hoke receives from fiber(node,type): 30(lexa,negative) 
NODE ilvy receives from fiber(node,type): 30(ilvy,negative) 
NODE insk receives from fiber(node,type): 30(lexa,negative) 
NODE iscr receives from fiber(node,type): 30(iscr,negative) 
NODE lexa receives from fiber(node,type): 30(lexa,negative) 
NODE lyso receives from fiber(node,type): 30(argr,negative) 
NODE lysr receives from fiber(node,type): 30(lysr,negative) 
NODE mngab receives from fiber(node,type): 30(mngr,negative) 
NODE mngr receives from fiber(node,type): 30(mngr,negative) 
NODE mpra receives from fiber(node,type): 30(mpra,negative) 
NODE mqsa receives from fiber(node,type): 30(mqsa,negative) 
NODE nimr receives from fiber(node,type): 30(nimr,negative) 
NODE nimt receives from fiber(node,type): 30(nimr,negative) 
NODE paax receives from fiber(node,type): 30(paax,negative) 
NODE pepa receives from fiber(node,type): 30(pepa,negative) 
NODE polb receives from fiber(node,type): 30(lexa,negative) 
NODE pspf receives from fiber(node,type): 30(pspf,negative) 
NODE ptra-recbd receives from fiber(node,type): 30(lexa,negative) 
NODE rcnr receives from fiber(node,type): 30(rcnr,negative) 
NODE recax receives from fiber(node,type): 30(lexa,negative) 
NODE recn receives from fiber(node,type): 30(lexa,negative) 
NODE recq receives from fiber(node,type): 30(lexa,negative) 
NODE rnlab receives from fiber(node,type): 30(iscr,negative) 
NODE rpib receives from fiber(node,type): 30(alsr,negative) 
NODE rpsu-dnag-rpod receives from fiber(node,type): 30(lexa,negative) 
NODE rutr receives from fiber(node,type): 30(rutr,negative) 
NODE ruvab receives from fiber(node,type): 30(lexa,negative) 
NODE sgrr receives from fiber(node,type): 30(sgrr,negative) 
NODE syme receives from fiber(node,type): 30(lexa,negative) 
NODE tisb receives from fiber(node,type): 30(lexa,negative) 
NODE torr receives from fiber(node,type): 30(torr,negative) 
NODE trpledcba receives from fiber(node,type): 30(trpr,negative) 
NODE trpr receives from fiber(node,type): 30(trpr,negative) 
NODE uidr receives from fiber(node,type): 30(uidr,negative) 
NODE umudc receives from fiber(node,type): 30(lexa,negative) 
NODE uvrb receives from fiber(node,type): 30(lexa,negative) 
NODE uvrd receives from fiber(node,type): 30(lexa,negative) 
NODE uvry receives from fiber(node,type): 30(lexa,negative) 
NODE ybfe receives from fiber(node,type): 30(lexa,negative) 
NODE ybga-phr receives from fiber(node,type): 30(lexa,negative) 
NODE ydjm receives from fiber(node,type): 30(lexa,negative) 
NODE yebg receives from fiber(node,type): 30(lexa,negative) 

INSIDE FIBER 31 WITH SIZE 2:
NODE acka-pta receives from fiber(node,type): 374(fnr,positive) 131(arca,positive) 
NODE dcuc receives from fiber(node,type): 374(fnr,positive) 131(arca,positive) 

INSIDE FIBER 33 WITH SIZE 2:
NODE nhar receives from fiber(node,type): 33(nhar,positive) 145(hns,negative) 
NODE evga receives from fiber(node,type): 145(hns,negative) 33(evga,positive) 

INSIDE FIBER 35 WITH SIZE 2:
NODE uvra receives from fiber(node,type): 30(lexa,negative) 131(arca,negative) 
NODE ssb receives from fiber(node,type): 30(lexa,negative) 131(arca,negative) 

INSIDE FIBER 37 WITH SIZE 2:
NODE yfdx-frc-oxc-yfdve receives from fiber(node,type): 33(evga,positive) 
NODE yegrz receives from fiber(node,type): 33(evga,positive) 

INSIDE FIBER 38 WITH SIZE 16:
NODE yoac receives from fiber(node,type): 72(cysb,positive) 
NODE ygeh receives from fiber(node,type): 72(cysb,positive) 
NODE yciw receives from fiber(node,type): 72(cysb,positive) 
