INSIDE FIBER 4 WITH SIZE 12:
NODE 827 receives from fiber(node,type): 199(143,0) 
NODE 825 receives from fiber(node,type): 199(143,0) 
NODE 824 receives from fiber(node,type): 199(143,0) 
NODE 795 receives from fiber(node,type): 199(143,0) 
NODE 745 receives from fiber(node,type): 199(143,0) 
NODE 705 receives from fiber(node,type): 199(143,0) 
NODE 681 receives from fiber(node,type): 199(143,0) 
NODE 650 receives from fiber(node,type): 199(143,0) 
NODE 642 receives from fiber(node,type): 199(143,0) 
NODE 622 receives from fiber(node,type): 199(143,0) 
NODE 588 receives from fiber(node,type): 199(143,0) 
NODE 583 receives from fiber(node,type): 199(143,0) 
NODE 535 receives from fiber(node,type): 199(143,0) 
NODE 499 receives from fiber(node,type): 199(143,0) 
NODE 468 receives from fiber(node,type): 199(143,0) 
NODE 443 receives from fiber(node,type): 199(143,0) 
NODE 398 receives from fiber(node,type): 199(143,0) 
NODE 390 receives from fiber(node,type): 199(143,0) 
NODE 358 receives from fiber(node,type): 199(143,0) 
NODE 333 receives from fiber(node,type): 199(143,0) 
NODE 314 receives from fiber(node,type): 199(143,0) 
NODE 304 receives from fiber(node,type): 199(143,0) 
NODE 152 receives from fiber(node,type): 199(143,0) 
NODE 137 receives from fiber(node,type): 199(143,0) 
NODE 25 receives from fiber(node,type): 199(143,0) 
NODE 1 receives from fiber(node,type): 199(143,0) 

INSIDE FIBER 75 WITH SIZE 4:
NODE 14 receives from fiber(node,type): 328(692,0) 120(644,0) 468(439,0) 
NODE 384 receives from fiber(node,type): 328(692,0) 120(644,0) 468(439,0) 
NODE 513 receives from fiber(node,type): 328(692,0) 120(644,0) 468(439,0) 
NODE 514 receives from fiber(node,type): 328(692,0) 120(644,0) 468(439,0) 

INSIDE FIBER 76 WITH SIZE 3:
NODE 271 receives from fiber(node,type): 328(692,0) 468(439,0) 
NODE 587 receives from fiber(node,type): 328(692,0) 468(439,0) 
NODE 641 receives from fiber(node,type): 328(692,0) 468(439,0) 

INSIDE FIBER 77 WITH SIZE 4:
NODE 262 receives from fiber(node,type): 328(692,0) 
NODE 565 receives from fiber(node,type): 328(692,0) 
NODE 640 receives from fiber(node,type): 328(692,0) 
NODE 802 receives from fiber(node,type): 328(692,0) 

INSIDE FIBER 80 WITH SIZE 4:
NODE 624 receives from fiber(node,type): 80(624,1) 199(143,0) 
NODE 548 receives from fiber(node,type): 80(548,1) 199(143,0) 
NODE 419 receives from fiber(node,type): 80(419,1) 199(143,0) 
NODE 418 receives from fiber(node,type): 80(419,1) 199(143,0) 

INSIDE FIBER 81 WITH SIZE 3:
NODE 222 receives from fiber(node,type): 199(143,0) 279(140,1) 
NODE 290 receives from fiber(node,type): 199(143,0) 279(140,1) 
NODE 486 receives from fiber(node,type): 199(143,0) 279(140,1) 

INSIDE FIBER 85 WITH SIZE 2:
NODE 429 receives from fiber(node,type): 85(429,1) 199(143,1) 199(143,0) 
NODE 473 receives from fiber(node,type): 85(473,1) 199(143,1) 199(143,0) 

INSIDE FIBER 86 WITH SIZE 2:
NODE 409 receives from fiber(node,type): 86(768,1) 123(226,1) 199(143,0) 
NODE 768 receives from fiber(node,type): 86(768,1) 123(226,1) 199(143,0) 

INSIDE FIBER 94 WITH SIZE 4:
NODE 866 receives from fiber(node,type): 397(266,1) 
NODE 796 receives from fiber(node,type): 397(266,1) 
NODE 652 receives from fiber(node,type): 397(266,1) 
NODE 540 receives from fiber(node,type): 397(266,1) 

INSIDE FIBER 112 WITH SIZE 2:
NODE 365 receives from fiber(node,type): 395(259,0) 199(143,0) 
NODE 728 receives from fiber(node,type): 395(259,0) 199(143,0) 

INSIDE FIBER 117 WITH SIZE 2:
NODE 366 receives from fiber(node,type): 395(259,1) 199(143,0) 
NODE 34 receives from fiber(node,type): 395(259,1) 199(143,0) 

INSIDE FIBER 118 WITH SIZE 2:
NODE 658 receives from fiber(node,type): 183(417,1) 395(259,0) 
NODE 654 receives from fiber(node,type): 183(417,1) 395(259,0) 

INSIDE FIBER 122 WITH SIZE 2:
NODE 62 receives from fiber(node,type): 183(417,0) 240(63,0) 
NODE 424 receives from fiber(node,type): 183(417,0) 240(63,0) 

INSIDE FIBER 130 WITH SIZE 2:
NODE 81 receives from fiber(node,type): 378(508,1) 397(266,0) 199(143,0) 
NODE 179 receives from fiber(node,type): 378(508,1) 397(266,0) 199(143,0) 

INSIDE FIBER 134 WITH SIZE 3:
NODE 857 receives from fiber(node,type): 183(417,0) 
NODE 394 receives from fiber(node,type): 183(417,0) 
NODE 30 receives from fiber(node,type): 183(417,0) 

INSIDE FIBER 137 WITH SIZE 5:
NODE 655 receives from fiber(node,type): 183(417,1) 110(357,1) 395(259,0) 
NODE 656 receives from fiber(node,type): 183(417,1) 110(357,1) 395(259,0) 
NODE 657 receives from fiber(node,type): 183(417,1) 110(357,1) 395(259,0) 
NODE 659 receives from fiber(node,type): 183(417,1) 110(357,1) 395(259,0) 
NODE 660 receives from fiber(node,type): 183(417,1) 110(357,1) 395(259,0) 

INSIDE FIBER 139 WITH SIZE 2:
NODE 638 receives from fiber(node,type): 139(638,0) 139(637,0) 199(143,0) 
NODE 637 receives from fiber(node,type): 139(638,0) 139(637,0) 199(143,0) 

INSIDE FIBER 148 WITH SIZE 2:
NODE 617 receives from fiber(node,type): 148(611,1) 111(280,1) 
NODE 611 receives from fiber(node,type): 148(611,1) 111(280,1) 

INSIDE FIBER 156 WITH SIZE 4:
NODE 792 receives from fiber(node,type): 156(171,1) 199(143,2) 
NODE 502 receives from fiber(node,type): 156(501,1) 199(143,2) 
NODE 501 receives from fiber(node,type): 156(501,1) 199(143,2) 
NODE 171 receives from fiber(node,type): 156(171,1) 199(143,2) 

INSIDE FIBER 185 WITH SIZE 2:
NODE 172 receives from fiber(node,type): 53(107,2) 
NODE 43 receives from fiber(node,type): 53(107,2) 

INSIDE FIBER 191 WITH SIZE 8:
NODE 157 receives from fiber(node,type): 148(611,1) 
NODE 317 receives from fiber(node,type): 148(611,1) 
NODE 353 receives from fiber(node,type): 148(611,1) 
NODE 414 receives from fiber(node,type): 148(611,1) 
NODE 606 receives from fiber(node,type): 148(611,1) 
NODE 607 receives from fiber(node,type): 148(611,1) 
NODE 609 receives from fiber(node,type): 148(611,1) 
NODE 693 receives from fiber(node,type): 148(611,1) 

INSIDE FIBER 204 WITH SIZE 2:
NODE 524 receives from fiber(node,type): -1(531,1) 204(524,1) 
NODE 205 receives from fiber(node,type): -1(531,1) 204(205,1) 

INSIDE FIBER 214 WITH SIZE 2:
NODE 99 receives from fiber(node,type): 279(140,0) 214(98,1) 92(53,1) 
NODE 98 receives from fiber(node,type): 279(140,0) 214(98,1) 92(53,1) 

INSIDE FIBER 233 WITH SIZE 2:
NODE 783 receives from fiber(node,type): 397(266,0) 51(165,0) 92(53,0) 
NODE 386 receives from fiber(node,type): 51(575,0) 397(266,0) 92(53,0) 

INSIDE FIBER 235 WITH SIZE 2:
NODE 761 receives from fiber(node,type): 294(408,1) 92(53,1) 
NODE 698 receives from fiber(node,type): 294(408,1) 92(53,1) 

INSIDE FIBER 251 WITH SIZE 2:
NODE 696 receives from fiber(node,type): 317(139,0) 251(91,0) 
NODE 91 receives from fiber(node,type): 317(139,0) 251(91,0) 

INSIDE FIBER 254 WITH SIZE 3:
NODE 277 receives from fiber(node,type): 254(278,0) 199(143,0) 
NODE 278 receives from fiber(node,type): 254(278,0) 199(143,0) 
NODE 876 receives from fiber(node,type): 254(876,0) 199(143,0) 

INSIDE FIBER 262 WITH SIZE 3:
NODE 70 receives from fiber(node,type): 262(731,1) 
NODE 730 receives from fiber(node,type): 262(731,1) 
NODE 731 receives from fiber(node,type): 262(731,1) 

