glrr-glnb	317	230
glsa-ybat	318	82
glta	319	281
gltbdf	320	400
gltx	321	61
glya	322	228
glyu	323	64
gnd	324	171
gntp	325	161
gntr	326	-1
gntrku	327	291
gntt	328	405
gor	329	1
gpma	330	11
gpmm-envc-yibq	331	19
grca	332	444
grpe	333	110
grxa	334	1
grxd	335	341
gspab	336	10
gspcdefghijklmo	337	314
guaba	338	208
gudpxd	339	78
gutm	340	179
gyra	341	254
gyrb	342	61
hcaefcbd	343	25
hcar	344	30
hcha	345	10
hcp-hcr-poxb-ltae-ybjt	346	445
hdeab-yhid	347	446
hded	348	236
hdfr	349	10
hema-prfa-prmc	350	282
hemh	351	1
heml	352	186
hfld-purb	353	230
hipb	354	262
hlye	355	312
hmp	356	226
hns	357	145
hofmnop	358	110
hoke	359	30
hprr	360	-1
hpt	361	307
hslj	362	39
htpg	363	435
hu	364	-1
hupa	365	147
hupb	366	149
hyaabcdef	367	342
hyboabcdefg	368	59
hycabcdefghi	369	350
hydn-hypf	370	295
hyfr	371	294
hypt	372	-1
ibag-mura	373	15
ibpab	374	320
icd	375	249
iclr	376	109
idnk	377	403
idnr	378	403
ihf	379	-1
ilvc	380	25
ilvih	381	56
ilvlxg_1g_2meda	382	389
ilvy	383	30
inaa	384	113
insk	385	30
iram	386	289
irap	387	77
iscr	388	30
isrc-flu	389	45
ivbl-ilvbn-uhpabc	390	110
kate	391	197
katg	392	216
kbaz-agavwa	393	29
kbl-tdh	394	167
kdgr	395	-1
kdpe	396	-1
kdpfabc	397	366
laci	398	110
laczya	399	229
ldtb	400	447
ldtc	401	78
ldtd	402	78
leue	403	69
leulabcd	404	90
leuo	405	315
leuqpv	406	64
leux	407	64
lexa	408	30
lgor	409	123
livj	410	69
livkhmgf	411	69
lldr	412	448
lola-rara	413	20
lolb-ispe-prs	414	230
lptd-sura-pdxa-rsma-apagh	415	64
lrha	416	78
lrp	417	227
lsracdbfg-tam	418	108
lsrr	419	108
luxs	420	25
lysa	421	250
lysc	422	0
lyso	423	30
lysp	424	162
lysr	425	30
lyst-valt-lysw	426	64
lysu	427	69
malefg	428	288
mali	429	105
malk-lamb-malm	430	121
malpq	431	122
mals	432	223
malt	433	166
malxy	434	151
malz	435	224
mana	436	97
manxyz	437	203
map-glnd-dapd	438	183
mara	439	449
marr	440	449
mata	441	-1
maze	442	263
mcas	443	110
mcba	444	362
mcbr	445	-1
mdh	446	285
mdtji	447	10
melab	448	217
melr	449	221
meph	450	341
meta	451	18
metbl	452	395
metc	453	18
mete	454	234
metf	455	18
meth	456	233
metj	457	11
metk	458	17
metniq	459	392
metr	460	27
mett-leuw-glnuw-metu-glnvx	461	64
mety-rimp-nusa-infb-rbfa-trub-rpso-pnp	462	156
mgrb	463	38
mgrr	464	38
mgtla	465	38
mgts	466	38
mhpabcdfe	467	87
mhpr	468	110
mhpt	469	341
micf	470	396
mipa	471	78
mlafedcb	472	85
mlc	473	105
mlra	474	68
mltf	475	51
mngab	476	30
mngr	477	30
mnth	478	357
mntp	479	356
mntr	480	-1
moaabcde	481	420
modabc	482	355
mode	483	-1
moeab	484	253
motab-cheaw	485	79
mpl	486	28
mpra	487	30
mqsa	488	30
mraz	489	130
msra	490	61
mtladr	491	155
mtr	492	399
murqp-yfew	493	176
murr	494	188
muty-yggx-mltc-nupg	495	417
nac	496	329
nada-pnuc	497	348
nadb	498	348
nadc	499	110
nadr	500	-1
nagc	501	198
nage	502	198
nanatek-yhch	503	201
nancms	504	200
nanr	505	-1
narghji	506	368
nark	507	265
narl	508	354
narp	509	-1
narq	510	100
ndh	511	450
nemr	512	26
nfo	513	113
nfsb	514	113
nhar	515	33
nikr	516	127
nimr	517	30
nimt	518	30
nirbdc-cysg	519	380
nlpa	520	77
nlpd-rpos	521	272
nmpc	522	353
noha-ydfn-tfaq	523	11
norr	524	243
norvw	525	382
nrdab-yfae	526	451
nrddg	527	242
nrdhief	528	241
nrdr	529	-1
nrfabcdefg	530	381
nsrr	531	-1
ntrc	532	-1
nuoabcefghijklmn	533	385
nupc	534	211
ompa	535	110
ompc	536	410
ompf	537	411
ompr	538	134
ompw	539	286
ompx	540	128
omra	541	70
omrb	542	70
oppabcdf	543	351
osmb	544	20
osmc	545	275
osme	546	335
osmy	547	376
oxyr	548	108
oxys	549	1
paaabcdefghijk	550	313
paax	551	30
paaz	552	259
pagp	553	38
pata	554	332
pck	555	95
pdef	556	67
pdel	557	41
pder	558	165
pdhr	559	245
pepa	560	30
pepd	561	80
pept	562	67
pfka	563	19
pgaabcd	564	71
pgi	565	115
pgpc-tada	566	341
pgrr	567	-1
pheu	568	64
phev	569	64
phncde_1e_2fghijklmnop	570	78
phoa-psif	571	78
phob	572	78
phoe	573	78
phoh	574	78
phop	575	72
pita	576	67
pitb	577	79
pncb	578	349
pola	579	63
polb	580	30
potfghi	581	332
ppc	582	19
ppdd-hofbc	583	110
ppia	584	244
ppid	585	78
ppsa	586	14
pqiabc	587	114
preta	588	110
prok	589	64
prol	590	64
prop	591	154
provwx	592	185
prpbcde	593	169
prpr	594	434
psd-mscm	595	79
psie	596	83
pspabcde	597	47
pspf	598	30
pspg	599	47
pstscab-phou	600	177
pth-ychf	601	45
ptra-recbd	602	30
ptsg	603	378
ptshi-crr	604	379
pura	605	163
purc	606	230
purek	607	230
purhd	608	283
purl	609	230
purmn	610	65
purr	611	187
puta	612	424
putp	613	104
puuap	614	117
puur	615	116
pykf	616	19
pyrc	617	187
pyrd	618	152
pyrg-eno	619	19
qseb	620	428
quea	621	64
raia	622	110
rava-viaa	623	67
rbsr	624	108
rcda	625	-1
rclabc	626	321
rclr	627	-1
rcnab	628	196
rcnr	629	30
rcsa	630	75
rcsb	631	10
recax	632	30
recn	633	30
recq	634	30
rfe-wzze-wecbc-rffghc-wece-wzxe-rfft-wzye-rffm	635	341
rhabad	636	174
rhar	637	175
rhas	638	175
rhat	639	219
riba	640	115
rira-waaqgpsbojyzu	641	114
rmf	642	110
rnlab	643	30
rob	644	158
rpib	645	30
rplm-rpsi	646	159
rplu-rpma-yhbe-obge	647	15
rpoh	648	377
rpra	649	23
rpsf-prib-rpsr-rpli	650	110
rpsj-rplcdwb-rpss-rplv-rpsc-rplp-rpmc-rpsq	651	44
rpsp-rimm-trmd-rpls	652	128
rpsu-dnag-rpod	653	30
rrsa-ilet-alat-rrla-rrfa	654	150
rrsb-gltt-rrlb-rrfb	655	172
rrsc-gltu-rrlc-rrfc	656	172
rrsd-ileu-alau-rrld-rrfd-thrv-rrff	657	172
rrse-gltv-rrle-rrfe	658	150
rrsg-gltw-rrlg-rrfg	659	172
