	0	100
	1	110
	2	140
	3	78
	4	109
	5	78
	6	371
	7	31
	8	270
	9	138
	10	413
	11	293
	12	13
	13	30
	14	113
	15	135
	16	72
	17	1
	18	10
	19	267
	20	260
	21	10
	22	133
	23	30
	24	30
	25	110
	26	40
	27	256
	28	69
	29	25
	30	167
	31	30
	32	64
	33	345
	34	149
	35	38
	36	436
	37	290
	38	-1
	39	436
	40	30
	41	310
	42	78
	43	225
	44	100
	45	153
	46	215
	47	299
	48	218
	49	280
	50	86
	51	86
	52	98
	53	131
	54	22
	55	30
	56	30
	57	36
	58	30
	59	30
	60	29
	61	30
	62	162
	63	109
	64	30
	65	64
	66	64
	67	64
	68	48
	69	107
	70	30
	71	261
	72	50
	73	30
	74	30
	75	30
	76	432
	77	-1
	78	235
	79	82
	80	66
	81	168
	82	199
	83	64
	84	322
	85	276
	86	-1
	87	431
	88	69
	89	100
	90	78
	91	93
	92	111
	93	119
	94	-1
	95	67
	96	341
	97	274
	98	257
	99	257
	100	212
	101	16
	102	423
	103	423
	104	-1
	105	324
	106	-1
	107	74
	108	38
	109	305
	110	-1
	111	421
	112	81
	113	182
	114	264
	115	240
	116	237
	117	367
	118	316
	119	277
	120	61
	121	42
	122	78
	123	333
	124	30
	125	143
	126	10
	127	205
	128	30
	129	96
	130	297
	131	82
	132	310
	133	192
	134	232
	135	100
	136	419
	137	110
	138	78
	139	78
	140	79
	141	207
	142	11
	143	239
	144	106
	145	427
	146	190
	147	144
	148	191
	149	425
	150	47
	151	141
	152	110
	153	419
	154	-1
	155	402
	156	402
	157	230
	158	100
	159	4
	160	391
	161	248
	162	30
	163	25
	164	401
	165	72
	166	38
	167	39
	168	394
	169	38
	170	34
	171	198
	172	225
	173	210
	174	0
	175	220
	176	269
	177	31
	178	278
	179	168
	180	332
	181	85
	182	76
	183	418
	184	-1
	185	77
	186	54
	187	430
	188	25
	189	30
	190	-1
	191	415
	192	415
	193	30
	194	30
	195	30
	196	206
	197	30
	198	341
	199	352
	200	184
	201	298
	202	125
	203	359
	204	1
	205	243
	206	57
	207	88
	208	70
	209	414
	210	-1
	211	73
	212	365
	213	365
	214	404
	215	79
	216	32
	217	96
	218	189
	219	-1
	220	-1
	221	38
	222	28
	223	30
	224	33
	225	11
	226	160
	227	284
	228	409
	229	409
	230	78
	231	-1
	232	157
	233	2
	234	103
	235	139
	236	103
	237	271
	238	79
	239	78
	240	19
	241	343
	242	437
	243	339
	244	334
	245	393
	246	317
	247	12
	248	96
	249	196
	250	11
