331	694	positive
331	513	positive
331	400	positive
331	400	negative
331	518	positive
331	677	positive
331	757	positive
331	295	positive
331	598	positive
331	598	dual
331	598	negative
331	577	positive
331	478	dual
331	706	dual
331	139	positive
331	727	positive
331	336	negative
331	869	negative
331	360	positive
331	95	positive
331	466	positive
331	508	positive
331	786	positive
331	441	positive
331	716	positive
331	716	negative
331	579	negative
331	388	negative
331	327	positive
331	428	positive
331	572	positive
331	467	positive
331	467	negative
331	777	positive
331	768	negative
331	32	positive
331	436	dual
331	436	negative
331	315	positive
331	203	positive
331	203	negative
331	558	positive
331	170	positive
331	143	negative
331	261	positive
331	544	positive
331	544	negative
331	419	negative
331	775	negative
331	682	positive
331	730	positive
331	847	positive
331	679	positive
331	813	positive
331	608	positive
331	738	positive
331	308	negative
331	194	positive
331	194	dual
331	194	negative
331	805	positive
331	370	positive
331	123	positive
331	263	positive
331	430	negative
331	264	positive
331	765	positive
331	343	negative
331	863	negative
331	830	negative
331	302	negative
331	346	positive
331	593	positive
331	279	positive
331	659	negative
331	197	positive
331	454	negative
331	403	dual
331	325	positive
331	851	positive
331	851	dual
331	58	positive
331	221	positive
331	790	positive
331	823	positive
331	639	positive
331	792	positive
331	653	positive
331	839	positive
331	782	negative
331	275	positive
331	165	positive
331	690	negative
331	243	negative
331	296	dual
331	223	dual
331	16	positive
331	397	positive
331	488	positive
331	502	positive
331	610	positive
331	610	negative
331	79	positive
331	549	negative
331	312	positive
331	540	positive
331	724	negative
331	620	positive
331	332	positive
699	483	positive
699	699	positive
699	330	positive
699	150	negative
699	698	positive
699	153	positive
699	52	negative
699	583	positive
699	526	positive
699	500	negative
409	262	positive
409	556	positive
48	33	positive
48	100	positive
48	386	negative
435	648	positive
435	435	positive
435	797	positive
435	799	positive
355	355	negative
355	756	positive
701	334	positive
701	701	negative
701	375	positive
701	539	positive
701	491	positive
701	520	positive
701	298	positive
701	614	negative
701	210	negative
701	487	positive
701	40	positive
701	769	positive
701	624	positive
701	42	positive
701	151	positive
350	668	negative
350	350	negative
350	693	negative
350	598	negative
350	508	negative
350	436	negative
350	194	negative
350	403	negative
350	851	negative
350	223	negative
675	702	positive
675	721	positive
675	705	positive
675	476	positive
3	693	negative
3	598	negative
3	403	negative
571	834	positive
571	571	negative
511	60	negative
511	622	negative
504	719	negative
504	504	dual
504	504	negative
504	4	negative
504	466	positive
504	466	negative
504	499	positive
504	194	negative
504	244	negative
705	801	negative
705	766	positive
705	705	positive
705	254	positive
705	349	positive
802	802	negative
802	152	positive
773	394	negative
734	533	negative
209	148	positive
209	441	positive
746	185	positive
746	320	positive
746	746	positive
746	427	positive
746	132	positive
746	109	positive
746	118	positive
746	177	positive
565	565	negative
565	254	negative
565	438	negative
565	639	negative
565	792	negative
565	653	negative
565	839	negative
776	637	negative
776	707	negative
521	640	positive
521	603	positive
521	686	positive
521	637	positive
521	707	positive
521	352	positive
521	762	negative
521	12	negative
521	589	negative
521	84	negative
521	460	negative
521	2	negative
521	160	negative
521	521	positive
521	576	positive
521	771	negative
521	49	positive
156	660	positive
156	113	positive
106	680	positive
106	106	positive
106	489	positive
106	632	positive
106	664	positive
316	269	negative
316	136	negative
316	328	negative
316	5	positive
316	239	positive
316	755	negative
316	423	negative
316	634	positive
316	708	positive
316	841	positive
316	644	positive
316	367	positive
316	745	negative
316	781	positive
316	442	negative
316	331	negative
316	409	positive
316	10	negative
316	797	positive
316	721	negative
316	693	positive
316	554	negative
316	314	negative
316	762	positive
316	316	negative
316	251	positive
316	236	negative
316	557	negative
316	654	negative
316	305	positive
316	305	negative
316	190	negative
316	559	positive
316	613	negative
316	379	positive
316	696	positive
316	303	negative
316	523	positive
316	281	positive
316	4	negative
316	262	negative
316	819	negative
316	78	negative
316	556	positive
316	347	positive
316	445	negative
316	452	negative
316	73	negative
316	142	positive
316	7	positive
316	35	positive
316	134	positive
316	15	positive
316	742	positive
316	25	positive
316	812	positive
316	878	positive
316	284	positive
316	494	negative
316	757	negative
316	139	negative
316	116	negative
316	14	negative
316	231	positive
316	231	negative
316	869	negative
316	466	positive
316	849	negative
316	507	positive
316	124	negative
316	388	negative
316	662	positive
316	862	positive
316	71	positive
316	117	positive
316	203	positive
316	261	dual
316	261	negative
316	36	negative
316	564	positive
