1024 2025
1.9775390625 1.9775390625
15.595321992700338
1024 2108
2.05859375 2.05859375
16.017271196699586
1024 2101
2.0517578125 2.0517578125
18.251237579400186
1024 2029
1.9814453125 1.9814453125
21.80608314340061
1024 2042
1.994140625 1.994140625
18.344796382202183
1024 2027
1.9794921875 1.9794921875
19.593574244898626
1024 1996
1.94921875 1.94921875
18.738341936701907
1024 2102
2.052734375 2.052734375
18.592828387199553
1024 2088
2.0390625 2.0390625
15.320659288900789
1024 2048
2.0 2.0
18.461149967898383
1024 2118
2.068359375 2.068359375
14.952564680101933
1024 2065
2.0166015625 2.0166015625
15.059932368100272
1024 2106
2.056640625 2.056640625
17.792984922599864
1024 2071
2.0224609375 2.0224609375
15.595773291800288
1024 2137
2.0869140625 2.0869140625
15.95516877299815
1024 2018
1.970703125 1.970703125
17.966237249897677
1024 2018
1.970703125 1.970703125
17.906371182901786
1024 2034
1.986328125 1.986328125
18.52109841950005
1024 2059
2.0107421875 2.0107421875
17.80399017989985
1024 2057
2.0087890625 2.0087890625
19.05103284799843
