Source Target
RplGB RplE
RplGB RplV
RplGB RpmJ
RplGB RplK
RplGB RplC
SpoIIIE SpoIIIE
LigD YkoV
MoaE MoaD
GltX GatC
GltX TrnS-Gln
GltX GatB
GltX GatA
CitT CitS
YodR YodS
YokI YokJ
FlhP FlgE
YwjH YwjH
RpsE RpsP
RpsE RpsU
RpsE RpsS
RpsE RpsQ
RpsE RpsT
RpsE RpsJ
RpsE RpsD
RpsE YpfD
RpsE RpsG
RpsE RpsK
RpsE RpsF
RpsE RpsH
RpsE RpsR
RpsE RpsM
RpsE RpsI
RpsE RpmEB
RpsE RpsC
RpsE RpsO
RpsE RpsB
YhfQ FecC
YhfQ FecE
YhfQ FecD
YhfQ FecF
SpoIIM SpoIIP
PtsI PtsH
Rok DnaA
RadA RadA
RadA DisA
OpuBD OpuBA
OpuBD OpuBB
OpuBD OpuBC
YmdB YmdB
TrpA TrpB
OxdD OxdD
OxdD CgeA
OxdD YknT
OxdD CotY
KinE Spo0F
YrkP YrkQ
ImmA ImmR
KtrC KtrC
KtrC KtrD
KtrC KtrB
CspB CshB
CspB CshA
CspB RpsB
YacP FapR
AcuA AcsA
CopZ CopA
YckA YckB
Fra Fra
Fra SufS
Fra SufU
Fra HemH
YvdR YvdS
ParE ParC
AlbC AlbD
ComGC ComGC
ComGC ComC
ComGC ComGB
DdcP YneA
IspF IspF
SufD SufB
SufD SufC
MntC MntA
MntC MntB
MntC MntD
DltB DltB
DltB DltC
YwlE McsB
TrxB AhpT
YydI YydJ
YydI YydH
FlgB FlgC
GerQ GerQ
GerQ CgeA
GerQ YknT
SsbB SsbB
SsbB ComFA
SsbB RecA
SsbB DprA
MtlR PtsH
MtlR MtlA
MtlR MtlF
LevR PtsH
LevR LevE
FliM FliY
FliM FliG
FliM FlhG
RbsB RbsA
RbsB RbsD
RbsB RbsC
QcrB QcrA
QcrB QcrC
AccC AccA
AccC AccB
AccC AccD
YqcF YqcG
YncF YncF
ResD ResE
NrdI YumC
NrdI NrdF
FrlM YurJ
FrlM FrlN
FrlM FrlO
RapF ComA
RapF PhrF
YngHB BirA
NarI NarH
AcpS DltC
AcpS AcpA
GcvPB GcvPB
GcvPB GcvPA
RplF RplN
RplF Ctc
RplF RplA
RplF RpmA
RplF RpmC
RplF RplS
RplF RpmGC
RplF RbgA
RplF RplI
RplF RplJ
RplF RplW
RplF RpsNB
RplF RplX
RplF RpmI
RplF RplT
RplF RpmD
RplF RpmF
RplF RplB
RplF RpmB
RplF RplR
RplF RplM
RplF RpmGB
RplF RplO
RplF RplP
RplF RpmGA
RplF RpmEB
RplF YsxC
RplF RplL
RplF RpmH
RplF RplE
RplF RplV
RplF RpmJ
RplF RplK
RplF RplC
TcyA TcyB
TcyA TcyC
DacC MreD
DacC PbpA
DacC MreBH
DacC PbpI
DacC PbpC
DacC RodZ
DacC MreC
DacC PbpH
DacC MreB
DacC RodA
BacC BacC
CtaD CtaC
KinB CtaC
KinB Spo0F
KinB Sda
KinB QcrC
YngE YngH
RsiX SigX
SpoIIGA SigE
SpoIIGA SpoIIR
YhfU YbaF
CcpN CcpN
CcpN RpoA
AccA AccB
AccA AccD
DynA DynA
DynA YwpG
DynA Rny
DynA YneK
YvaE YvaD
MreD PbpA
MreD MreBH
MreD PbpI
MreD PbpC
MreD RodZ
MreD MreC
MreD PbpH
MreD MreB
MreD RodA
ThiX ThiU
ThiX ThiV
ThiX ThiW
MetE BrxB
MetE BrxA
PrkC CpgA
PrkC GlmR
PrkC GpsB
PrkC YfnI
PrkC AbrB
RapC ComA
RapC PhrC
CydD CydC
RecG SsbA
SinI Spo0A
SinI SinR
SigK SigK
SigK SpoIVFB
SigK RpoC
SigK RpoB
EtfB EtfA
AppC AppD
AppC AppF
AppC AppB
AppC AppA/1
RpsP RpsU
RpsP RpsS
RpsP RpsQ
RpsP RpsT
RpsP RpsJ
RpsP RpsD
RpsP RpsG
RpsP RpsK
RpsP RpsF
RpsP RpsH
RpsP RpsR
RpsP RpsM
RpsP RpsI
RpsP RpmEB
RpsP RpsC
RpsP RpsO
RpsP RpsB
RapA Spo0F
RapA PhrA
YydG YydF
PncA PncA
YwqA PcrA
XtmB XtmA
YabJ YabJ
YfiB YfiC
CtaF CtaD
CtaF CtaC
CtaF CtaE
FusA RplL
ClpX ClpX
ClpX Spx
ClpX UgtP
ClpX McsB
ClpX CmpA
ClpX SpoIVA
ClpX ClpP
SdpR SdpI
PtsH MurP
PtsH BglP
PtsH GmuA
PtsH GamP
PtsH SacX
PtsH ManP
PtsH SacT
PtsH LevD
PtsH HprK
PtsH RbsR
PtsH FruA
PtsH SacP
PtsH PtsG
PtsH GlcT
PtsH TreP
PtsH RhgR
PtsH LicR
PtsH CcpA
PtsH LicA
PtsH SacY
PtsH GapA
PtsH GlpK
PtsH MtlF
PtsH ManR
PtsH LicT
Spo0B Spo0A
Spo0B Spo0F
Spo0B YmcA
CotB CotG
CotB CotH
AtpD AtpG
AtpD AtpE
AtpD AtpF
AtpD AtpC
AtpD AtpB
AtpD AtpA
AtpD AtpH
ClpY ClpQ
RibH RibE
RacX RacX
DnaB DnaB
DnaB DnaC
DnaB DnaE
DnaB DnaA
DnaB DnaX
DnaB RecO
DnaB DnaN
DnaB SsbA
DnaB RecA
DnaB DnaI
DnaB PriA
DnaB RecR
DnaB DnaD
DnaB HolA
DnaB HolB
DnaB RecF
DnaB DnaG
DnaB PolC
DisA DisA
RplN Ctc
RplN RplA
RplN RpmA
RplN RpmC
RplN RplS
RplN RpmGC
RplN RplI
RplN RplJ
RplN RplW
RplN RpsNB
RplN RplX
RplN RpmI
RplN RplT
RplN RpmD
RplN RpmF
RplN RplB
RplN RpmB
RplN RplR
RplN RplM
RplN YqeL
RplN RpmGB
RplN RplO
RplN RplP
RplN RpmGA
RplN RpmEB
RplN RplL
RplN RpmH
RplN RplE
RplN RplV
RplN RpmJ
RplN RplK
RplN RplC
Spo0A MecA
Spo0A SigA
Spo0A Spo0E
Spo0A KinC
Spx SigA
Spx RpoA
Spx RpoY
