LAMA2 DAG1
DAG1 DMD
DAG1 DMD
CD55 ABL1
CD55 ABL1
CD55 FYN
CD55 FYN
CD55 ABL2
CD55 ABL2
ICAM1 ITGAL
ICAM1 ITGB2
BID CYCS
BID CYCS
ABL1 RAC1
ABL2 RAC1
ABL1 RAC2
ABL2 RAC2
ABL1 RAC3
ABL2 RAC3
DMD ACTB
DMD ACTB
CASP8 BID
DMD ACTG1
DMD ACTG1
CASP9 CASP3
CYCS CASP9
FYN CAV1
FYN CAV1
CD80 CD28
CD86 CD28
CD40LG CD40
