source target
CBF1 LDS1
REB1 LDS1
SPT10 LDS1
SUA7 LDS1
SUM1 LDS1
SWI5 LDS1
ZAP1 LDS1
MED2 FUN30
SFP1 FUN30
SPT10 FUN30
UGA3 FUN30
XBP1 FUN30
FKH1 ATS1
MED2 ATS1
MED4 ATS1
MET32 ATS1
MSN2 ATS1
SFP1 ATS1
SPT10 ATS1
FKH1 CCR4
GCN5 CCR4
LEU3 CCR4
MED2 CCR4
MED4 CCR4
SFP1 CCR4
XBP1 CCR4
YAP1 CCR4
YAP6 CCR4
ADR1 FUN26
UGA3 FUN26
YAP6 FUN26
ABF1 PMT2
GCN5 PMT2
MED2 PMT2
MED6 PMT2
RAP1 PMT2
SPT3 PMT2
SUM1 PMT2
YAP5 PMT2
FKH2 LTE1
GCN5 LTE1
SPT10 LTE1
UGA3 LTE1
YAP1 LTE1
GCN5 MAK16
REB1 MAK16
RFX1 MAK16
ROX1 MAK16
SFP1 MAK16
SPT20 MAK16
YAP1 MAK16
CBF1 DRS2
FKH1 DRS2
XBP1 DRS2
FKH1 SAW1
FKH2 FRT2
MSN2 FRT2
SFP1 FRT2
STE12 FRT2
FKH2 MYO4
HFI1 MYO4
REB1 MYO4
STE12 MYO4
XBP1 MYO4
CYC8 SNC1
GLN3 SNC1
MED4 SNC1
REB1 SNC1
REB1 SNC1
RGR1 SNC1
SUA7 SNC1
REB1 GIP4
REB1 GIP4
SFP1 GIP4
SUA7 GIP4
UGA3 GIP4
YAP6 GIP4
MED2 PRP45
MED4 PRP45
TFC7 PRP45
RAP1 POP5
BUR6 FUN19
CHA4 FUN19
FKH1 FUN19
RAP1 FUN19
RAP1 FUN19
SFP1 FUN19
SUA7 FUN19
XBP1 FUN19
SFP1 MTW1
RFX1 FUN12
SFP1 FUN12
SFP1 FUN12
YAP1 FUN12
YAP6 FUN12
GCR1 RBG1
MED2 RBG1
RFX1 RBG1
SFP1 RBG1
SPT10 RBG1
CIN5 YOR028C
SPT10 YJL127C
SPT2 YER161C
SUA7 YPR086W
YAP6 YDR259C
CIN5 YOR028C
SFP1 YLR403W
SPT2 YER161C
YAP6 YDR259C
CST6 CDC19
FHL1 CDC19
FKH2 CDC19
GCR1 CDC19
GCR1 CDC19
GCR2 CDC19
GCR2 CDC19
HSF1 CDC19
RAP1 CDC19
RGR1 CDC19
ROX1 CDC19
SIN3 CDC19
SIN4 CDC19
SPT20 CDC19
SPT3 CDC19
SPT7 CDC19
SRB5 CDC19
STE12 CDC19
TUP1 CDC19
TYE7 CDC19
CAD1 CYC3
FHL1 CYC3
GCR1 CYC3
GCR2 CYC3
MED4 CYC3
RAP1 CYC3
ROX1 CYC3
SFP1 CYC3
STE12 CYC3
TYE7 CYC3
GCN5 CLN3
MCM1 CLN3
MET32 CLN3
MET4 CLN3
PHD1 CLN3
RAP1 CLN3
SFP1 CLN3
SIN4 CLN3
SPT20 CLN3
UGA3 CLN3
XBP1 CLN3
YAP6 CLN3
ABF1 CDC24
FKH1 CDC24
MED4 CDC24
RPD3 CDC24
TFC7 CDC24
YAP1 CDC24
YAP6 CDC24
SPT10 YJL127C
ABF1 ERV46
CST6 ERV46
FKH1 ERV46
MED4 ERV46
RFX1 ERV46
SFP1 ERV46
SIN4 ERV46
SPT20 ERV46
XBP1 ERV46
YAP1 ERV46
YAP6 ERV46
ABF1 PTA1
FKH1 PTA1
MED2 PTA1
MED4 PTA1
REB1 PTA1
XBP1 PTA1
YAP1 PTA1
ABF1 GCV3
BAS1 GCV3
BAS1 GCV3
BAS1 GCV3
GCR1 GCV3
HSF1 GCV3
