CCL25 CCR9
TNFSF13B TNFRSF13C
TNFSF13B TNFRSF13C
TNFSF13B TNFRSF13B
TNFSF13 TNFRSF13B
TNFSF13B TNFRSF13B
TNFSF13 TNFRSF13B
CCL28 CCR10
ICOSLG ICOS
ICOSLG ICOS
IL15 IL15RA
MADCAM1 ITGA4
MADCAM1 ITGB7
TNFSF13 TNFRSF17
TNFSF13B TNFRSF17
TNFSF13 TNFRSF17
TNFSF13B TNFRSF17
CXCL12 CXCR4
LTBR MAP3K14
CD80 CD28
CD80 CD28
CD86 CD28
CD86 CD28
CD40LG CD40
CD40LG CD40
